Unnamed: 0,seqname,source,feature,start,end,strand,ref_gene_id,reference_id,filename,transcript_length,molecularSubtype,Start_UTRref,End_UTRref,UTR_length,ref_UTR_length,UTR_diff,UTR_length (ln),UTR_type,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
41.0,chr19,StringTie,transcript,17292131,17303425,-,ABHD8,NM_024527.5,SRR19969211,11294,triple negative,17292130,17292660,530,530,0,6.272877006546167,no change,416.658221452084,-0.439470559103606,0.113285135669692,-3.87933118061473,0.0001047440662596,0.0029438010934867
63.0,chr1,StringTie,transcript,159204875,159206500,+,ACKR1,NM_002036.4,SRR19969208,1625,triple negative,159206450,159206500,50,50,0,3.912023005428146,no change,1384.593,-3.067104,0.6183139,-4.960433,7.033622e-07,5.469974e-05
73.0,chr2,StringTie,transcript,264947,272481,+,ACP1,NM_001040649.3,SRR19969208,7534,triple negative,272258,272481,223,223,0,5.407171771460119,no change,756.1672,1.416172,0.3074259,4.606547,4.094104e-06,0.000234848
106.0,chr3,StringTie,transcript,186842710,186858463,+,ADIPOQ,NM_004797.4,SRR19969208,15753,triple negative,186854704,186858463,3759,3759,0,8.231908243564177,no change,1751.36449878126,-5.48303835309022,1.68918920726113,-3.24595867030223,0.0011705583192473,0.0182276749812554
107.0,chr10,StringTie,transcript,86968482,86970915,+,ADIRF,NM_006829.3,SRR19969210,2433,triple negative,86970582,86970915,333,333,0,5.808142489980444,no change,3034.23036924287,-2.97955906017874,0.49980084831311,-5.961492602974,2.4994423414196403e-09,4.59245371380777e-07
108.0,chr10,aptardi,transcript,86968482,86970775,+,ADIRF,NM_006829.3,SRR19969210,2293,triple negative,86970582,86970915,193,333,-140,5.262690188904886,shorter,3034.23036924287,-2.97955906017874,0.49980084831311,-5.961492602974,2.4994423414196403e-09,4.59245371380777e-07
112.0,chr19,StringTie,transcript,49689594,49690575,+,ADM5,NM_001101340.2,SRR19969211,981,triple negative,49690493,49690575,82,82,0,4.406719247264253,no change,121.938735403142,-2.17208782085891,0.673189732860369,-3.22656112360738,0.0012528746879429,0.019129154751828
128.0,chr20,StringTie,transcript,62302061,62308862,+,ADRM1,XM_024451817.1,SRR19969212,6801,triple negative,62308761,62308862,101,101,0,4.61512051684126,no change,2109.71013512702,0.672690352952375,0.220066786456246,3.05675546857736,0.0022374672520865,0.0294083634796453
129.0,chr20,StringTie,transcript,62302896,62308862,+,ADRM1,NM_001281437.1,SRR19969212,5966,triple negative,62308761,62308862,101,101,0,4.61512051684126,no change,2107.46360880036,0.673134986816261,0.220342738963196,3.05494517306829,0.0022510166833043,0.0295315377002285
144.0,chr3,StringTie,transcript,148697903,148743003,+,AGTR1,NM_009585.4,SRR19969208,45100,triple negative,148742115,148743003,888,888,0,6.78897174299217,no change,323.6622,-4.754878,1.591976,-2.986778,0.002819345,0.03482544
178.0,chr1,StringTie,transcript,38991276,39006059,+,AKIRIN1,NM_001136275.2,SRR19969208,14783,triple negative,39004055,39006059,2004,2004,0,7.602900462204755,no change,2491.192,1.53454,0.4947777,3.101474,0.001925599,0.02616339
179.0,chr1,aptardi,transcript,38991276,39005944,+,AKIRIN1,NM_001136275.2,SRR19969208,14668,triple negative,39004055,39006059,1889,2004,-115,7.543802867501509,shorter,2491.192,1.53454,0.4947777,3.101474,0.001925599,0.02616339
180.0,chr1,aptardi,transcript,38991276,39004344,+,AKIRIN1,NM_001136275.2,SRR19969210,13068,triple negative,39004055,39006059,289,2004,-1715,5.666426688112432,shorter,2491.192,1.53454,0.4947777,3.101474,0.001925599,0.02616339
182.0,chr19,StringTie,transcript,49869033,49877387,-,AKT1S1,NM_032375.5,SRR19969208,8354,triple negative,49869032,49869916,884,884,0,6.784457062637643,no change,1402.99321058377,0.40963044265748,0.142230951642068,2.88003727689551,0.0039762815446652,0.0443696106760008
183.0,chr19,StringTie,transcript,49869039,49877355,-,AKT1S1,NM_001098633.4,SRR19969208,8316,triple negative,49869038,49869916,878,878,0,6.777646593635117,no change,1356.03634494529,0.417900346264098,0.146426964604359,2.85398490225657,0.0043174583092535,0.047123152277809
184.0,chr19,StringTie,transcript,49869039,49878356,-,AKT1S1,NM_001278160.2,SRR19969208,9317,triple negative,49869038,49869916,878,878,0,6.777646593635117,no change,1511.97470157204,0.384522941864987,0.127988206200334,3.00436230243832,0.0026613819683299,0.0333275224242731
225.0,chr12,StringTie,transcript,47075707,47079951,-,AMIGO2,NM_181847.4,SRR19969208,4244,triple negative,47075706,47077433,1727,1727,0,7.454141078146678,no change,668.96639332364,-2.02482744340801,0.668481018740257,-3.02899766282634,0.0024536658118006,0.0314317258593833
226.0,chr12,aptardi,transcript,47077266,47079951,-,AMIGO2,NM_181847.4,SRR19969212,2685,triple negative,47075706,47077433,168,1727,-1559,5.123963979403259,shorter,668.96639332364,-2.02482744340801,0.668481018740257,-3.02899766282634,0.0024536658118006,0.0314317258593833
227.0,chr12,aptardi,transcript,47076366,47079951,-,AMIGO2,NM_181847.4,SRR19969212,3585,triple negative,47075706,47077433,1068,1727,-659,6.97354301952014,shorter,668.96639332364,-2.02482744340801,0.668481018740257,-3.02899766282634,0.0024536658118006,0.0314317258593833
228.0,chr12,StringTie,transcript,47076447,47079959,-,AMIGO2,NM_001370299.1,SRR19969212,3512,triple negative,47076446,47077433,987,987,0,6.894670039433482,no change,672.211508709759,-2.02162261127804,0.669035683366061,-3.02169624362459,0.0025136264719178,0.0319457292999803
229.0,chr12,aptardi,transcript,47077266,47079959,-,AMIGO2,NM_001370299.1,SRR19969212,2693,triple negative,47076446,47077433,168,987,-819,5.123963979403259,shorter,672.211508709759,-2.02162261127804,0.669035683366061,-3.02169624362459,0.0025136264719178,0.0319457292999803
246.0,chr17,StringTie,transcript,81891713,81900533,+,ANAPC11,NM_001002247.2,SRR19969208,8820,triple negative,81900065,81900533,468,468,0,6.148468295917647,no change,1714.69699613533,1.00741649297164,0.277135751715449,3.63510116156362,0.0002778715769839,0.0061688362833141
247.0,chr17,aptardi,transcript,81891713,81900319,+,ANAPC11,NM_001002247.2,SRR19969208,8606,triple negative,81900065,81900533,254,468,-214,5.537334267018537,shorter,1714.69699613533,1.00741649297164,0.277135751715449,3.63510116156362,0.0002778715769839,0.0061688362833141
248.0,chr17,StringTie,transcript,81891723,81900255,+,ANAPC11,NM_001002248.3,SRR19969208,8532,triple negative,81900065,81900255,190,190,0,5.247024072160486,no change,1714.99054903729,1.00747437020731,0.277053071541342,3.636394877712,0.0002764803977469,0.0061443844550812
249.0,chr17,aptardi,transcript,81891927,81900319,+,ANAPC11,NM_001289416.1,SRR19969210,8392,triple negative,81900065,81900533,254,468,-214,5.537334267018537,shorter,1717.5111836041,1.01354470096169,0.278848442742797,3.63475116085394,0.000278249071134,0.006175061803661
266.0,chr1,StringTie,transcript,178849535,178871077,-,ANGPTL1,NM_001376763.1,SRR19969210,21542,triple negative,178849534,178851128,1594,1594,0,7.374001859350161,no change,175.3783,-2.194089,0.4471809,-4.906491,9.272042e-07,7.009399e-05
270.0,chr19,StringTie,transcript,11239619,11241943,+,ANGPTL8,NM_018687.7,SRR19969208,2324,triple negative,11241687,11241943,256,256,0,5.545177444479562,no change,21.1292259423665,-3.24939485828871,0.550810076242269,-5.89930177105092,3.6504305042462303e-09,6.4685831901845e-07
312.0,chr19,StringTie,transcript,46838167,46850846,-,AP2S1,NM_021575.5,SRR19969208,12679,triple negative,46838166,46838446,280,280,0,5.634789603169249,no change,2149.97595242357,0.882122739342976,0.264204470560241,3.33878808890876,0.0008414472809701,0.0143163061724833
339.0,chr19,StringTie,transcript,44914325,44919346,+,APOC1,NM_001321065.2,SRR19969212,5021,triple negative,44919230,44919346,116,116,0,4.7535901911063645,no change,2283.59166941323,2.07731079016909,0.730392326726058,2.84410270228402,0.0044536689815913,0.0481345824437535
340.0,chr19,StringTie,transcript,44914608,44919346,+,APOC1,NM_001645.5,SRR19969212,4738,triple negative,44919230,44919346,116,116,0,4.7535901911063645,no change,2283.37984414155,2.07778974350612,0.730043167903182,2.84611901714512,0.0044255650706733,0.0479367141104856
341.0,chr19,StringTie,transcript,44914672,44919346,+,APOC1,NM_001379687.1,SRR19969212,4674,triple negative,44919223,44919346,123,123,0,4.812184355372417,no change,2284.60286893145,2.0782139113241,0.72949593802587,2.84883548076782,0.0043879564361406,0.0476632542790213
342.0,chr19,StringTie,transcript,44946051,44949565,+,APOC2,NM_000483.5,SRR19969212,3514,triple negative,44949249,44949565,316,316,0,5.755742213586912,no change,229.398912929463,2.73073241328237,0.656784783833157,4.1577278897132,3.21428566698829e-05,0.0011971708589312
355.0,chr12,StringTie,transcript,12725917,12791466,+,APOLD1,NM_001130415.2,SRR19969210,65549,triple negative,12787652,12791466,3814,3814,0,8.246433786160365,no change,453.645684238052,-1.25410986852497,0.42501150971009,-2.95076683777441,0.0031698610671726,0.0377799928408783
356.0,chr12,StringTie,transcript,12785659,12791466,+,APOLD1,NM_030817.3,SRR19969211,5807,triple negative,12787652,12791466,3814,3814,0,8.246433786160365,no change,444.240706229429,-1.31919702294065,0.419299090677322,-3.14619576400622,0.0016540925043042,0.0232515953289837
363.0,chr1,StringTie,transcript,228082708,228099212,+,ARF1,NM_001658.4,SRR19969208,16504,triple negative,228098013,228099212,1199,1199,0,7.089243155027514,no change,12483.68,1.214327,0.2982589,4.071385,4.673445e-05,0.001574223
364.0,chr1,StringTie,transcript,228082708,228099210,+,ARF1,XM_017001233.1,SRR19969208,16502,triple negative,228097970,228099210,1240,1240,0,7.122866658599083,no change,12483.68,1.214327,0.2982589,4.071385,4.673445e-05,0.001574223
365.0,chr1,StringTie,transcript,228083134,228099212,+,ARF1,NM_001024228.2,SRR19969208,16078,triple negative,228098013,228099212,1199,1199,0,7.089243155027514,no change,12493.35,1.214173,0.2979767,4.074725,4.606877e-05,0.001560109
366.0,chr1,StringTie,transcript,228083150,228099212,+,ARF1,NM_001024227.1,SRR19969210,16062,triple negative,228098013,228099212,1199,1199,0,7.089243155027514,no change,12492.99,1.214114,0.2979704,4.074612,4.609122e-05,0.001560454
367.0,chr12,StringTie,transcript,48930252,48957526,-,ARF3,XM_006719391.4,SRR19969211,27274,triple negative,48930251,48931298,1047,1047,0,6.953684210870537,no change,2513.65046327626,1.27459807474397,0.310363420804985,4.1067921968319,4.01191855904844e-05,0.0014046130937472
368.0,chr12,StringTie,transcript,48935723,48957487,-,ARF3,NM_001659.3,SRR19969211,21764,triple negative,48935722,48938946,3224,3224,0,8.07837810362652,no change,7440.93917460685,0.843560932824174,0.28270959541509,2.98384259503329,0.0028465316663458,0.0350696449994371
369.0,chr12,StringTie,transcript,48936204,48956440,-,ARF3,XM_024448972.1,SRR19969211,20236,triple negative,48936203,48938946,2743,2743,0,7.916807490937603,no change,7429.96035572306,0.846241635533646,0.282928414331587,2.99100971365098,0.0027805664827728,0.0344974620773469
